experiment,label,weight,metric,value,aggregation
E2,random_forest_count,equal_group,RMSE,1.3709950546538809,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,random_forest_binary,equal_group,DA,0.60755767700875107,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,random_forest_binary,equal_group,MAE,1.2987923157043648,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,random_forest_binary,equal_group,RMSE,1.3610167899618062,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,xgboost_count,equal_group,DA,0.6042959427207637,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,xgboost_count,equal_group,MAE,1.2332959286356462,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,xgboost_count,equal_group,RMSE,1.4190094947977665,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,xgboost_binary,equal_group,DA,0.63277645186953058,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,xgboost_binary,equal_group,MAE,1.1617476179657009,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,xgboost_binary,equal_group,RMSE,1.3223580694933337,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,ridge_count,equal_group,DA,0.66491646778042957,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,ridge_count,equal_group,MAE,1.0768909915843394,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,ridge_count,equal_group,RMSE,1.2922495393566642,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,ridge_binary,equal_group,DA,0.65727923627684959,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,ridge_binary,equal_group,MAE,1.100629729423223,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,ridge_binary,equal_group,RMSE,1.2906546389255451,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,nearest_neighbor_binary,equal_group,DA,0.62863961813842484,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,nearest_neighbor_binary,equal_group,MAE,1.179242468791128,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,nearest_neighbor_binary,equal_group,RMSE,1.6336895312950106,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,permuted_xgboost_binary,equal_group,DA,0.51050119331742239,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,permuted_xgboost_binary,equal_group,MAE,1.3832003587480828,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,permuted_xgboost_binary,equal_group,RMSE,1.5131964737512054,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,source_prior_binary,equal_group,DA,0.45131264916467778,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,source_prior_binary,equal_group,MAE,1.398016766851603,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,source_prior_binary,equal_group,RMSE,1.4772826073726137,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,train_mean_binary,equal_group,DA,0.42601431980906923,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,train_mean_binary,equal_group,MAE,1.4009250533368507,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,train_mean_binary,equal_group,RMSE,1.453945440082193,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,zero_delta_binary,equal_group,DA,0,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,zero_delta_binary,equal_group,MAE,1.3818898687651595,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,zero_delta_binary,equal_group,RMSE,1.4296193369036414,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
