fit_ordinal,cell_id,model,split_seed,fold,model_seed,permutation_seed,fit_budget_units
176,permuted_xgboost|20260801|1|20260803,permuted_xgboost,20260801,1,20260803,310000021,1
177,ridge|20260801|2|-1,ridge,20260801,2,-1,,1
178,random_forest|20260801|2|20260624,random_forest,20260801,2,20260624,,1
179,random_forest|20260801|2|20260724,random_forest,20260801,2,20260724,,1
180,random_forest|20260801|2|20260801,random_forest,20260801,2,20260801,,1
181,xgboost|20260801|2|20260624,xgboost,20260801,2,20260624,,1
182,xgboost|20260801|2|20260724,xgboost,20260801,2,20260724,,1
183,xgboost|20260801|2|20260801,xgboost,20260801,2,20260801,,1
184,permuted_xgboost|20260801|2|20260803,permuted_xgboost,20260801,2,20260803,310000022,1
185,ridge|20260801|3|-1,ridge,20260801,3,-1,,1
186,random_forest|20260801|3|20260624,random_forest,20260801,3,20260624,,1
187,random_forest|20260801|3|20260724,random_forest,20260801,3,20260724,,1
188,random_forest|20260801|3|20260801,random_forest,20260801,3,20260801,,1
189,xgboost|20260801|3|20260624,xgboost,20260801,3,20260624,,1
190,xgboost|20260801|3|20260724,xgboost,20260801,3,20260724,,1
191,xgboost|20260801|3|20260801,xgboost,20260801,3,20260801,,1
192,permuted_xgboost|20260801|3|20260803,permuted_xgboost,20260801,3,20260803,310000023,1
193,ridge|20260801|4|-1,ridge,20260801,4,-1,,1
194,random_forest|20260801|4|20260624,random_forest,20260801,4,20260624,,1
195,random_forest|20260801|4|20260724,random_forest,20260801,4,20260724,,1
196,random_forest|20260801|4|20260801,random_forest,20260801,4,20260801,,1
197,xgboost|20260801|4|20260624,xgboost,20260801,4,20260624,,1
198,xgboost|20260801|4|20260724,xgboost,20260801,4,20260724,,1
199,xgboost|20260801|4|20260801,xgboost,20260801,4,20260801,,1
200,permuted_xgboost|20260801|4|20260803,permuted_xgboost,20260801,4,20260803,310000024,1
